Dataset,Model,DimReduction,Dimensions,AnomalyMethod,Accuracy,Precision,Recall,F1,AUC
plantpathology,densenet121,pca,1,OneClassSVM,0.386,0.7727272727272727,0.19154929577464788,0.30699774266365687,0.5268091306459446
plantpathology,densenet121,pca,1,LOF,0.362,0.7647058823529411,0.14647887323943662,0.2458628841607565,0.5180670228266149
plantpathology,densenet121,pca,1,GMM,0.3,0.7777777777777778,0.01971830985915493,0.038461538461538464,0.5029626032054395
plantpathology,densenet161,tsne,2,IQR+CI,0.45,0.9381443298969072,0.25277777777777777,0.3982494529540481,0.6049603174603174
plantpathology,densenet161,tsne,2,IsolationForest,0.516,0.9041095890410958,0.36666666666666664,0.5217391304347826,0.6333333333333333
plantpathology,densenet161,tsne,2,OneClassSVM,0.484,0.8355263157894737,0.3527777777777778,0.49609375,0.5871031746031746
plantpathology,densenet161,tsne,2,LOF,0.472,0.9444444444444444,0.2833333333333333,0.4358974358974359,0.6202380952380953
plantpathology,densenet161,tsne,2,GMM,0.388,0.9655172413793104,0.15555555555555556,0.2679425837320574,0.5706349206349206
plantpathology,densenet161,tsne,1,IQR+CI,0.416,0.9473684210526315,0.2,0.3302752293577982,0.5857142857142857
plantpathology,densenet161,tsne,1,IsolationForest,0.526,0.9072847682119205,0.38055555555555554,0.5362035225048923,0.6402777777777777
plantpathology,densenet161,tsne,1,OneClassSVM,0.462,0.7861635220125787,0.3472222222222222,0.4816955684007707,0.5521825396825397
plantpathology,densenet161,tsne,1,LOF,0.538,0.9006211180124224,0.4027777777777778,0.5566218809980806,0.6442460317460317
plantpathology,densenet161,tsne,1,GMM,0.368,0.9583333333333334,0.12777777777777777,0.22549019607843138,0.5567460317460318
plantpathology,densenet161,umap,2,IQR+CI,0.414,0.9135802469135802,0.20555555555555555,0.3356009070294785,0.5777777777777777
plantpathology,densenet161,umap,2,IsolationForest,0.516,0.9041095890410958,0.36666666666666664,0.5217391304347826,0.6333333333333333
plantpathology,densenet161,umap,2,OneClassSVM,0.432,0.8584905660377359,0.25277777777777777,0.3905579399141631,0.5728174603174604
plantpathology,densenet161,umap,2,LOF,0.394,0.9672131147540983,0.1638888888888889,0.28028503562945367,0.5748015873015874
plantpathology,densenet161,umap,2,GMM,0.376,0.9615384615384616,0.1388888888888889,0.24271844660194175,0.5623015873015873
plantpathology,densenet161,umap,1,IQR+CI,0.28,0.0,0.0,0.0,0.5
plantpathology,densenet161,umap,1,IsolationForest,0.492,0.8955223880597015,0.3333333333333333,0.48582995951417,0.6166666666666667
plantpathology,densenet161,umap,1,OneClassSVM,0.296,0.6176470588235294,0.058333333333333334,0.1065989847715736,0.48273809523809524
plantpathology,densenet161,umap,1,LOF,0.284,1.0,0.005555555555555556,0.011049723756906077,0.5027777777777778
plantpathology,densenet161,umap,1,GMM,0.282,0.6,0.008333333333333333,0.01643835616438356,0.49702380952380953
plantpathology,densenet161,pca,2,IQR+CI,0.332,0.782608695652174,0.1,0.17733990147783252,0.5142857142857143
plantpathology,densenet161,pca,2,IsolationForest,0.376,0.8157894736842105,0.17222222222222222,0.28440366972477066,0.5361111111111112
plantpathology,densenet161,pca,2,OneClassSVM,0.368,0.7075471698113207,0.20833333333333334,0.3218884120171674,0.493452380952381
plantpathology,densenet161,pca,2,LOF,0.378,0.788235294117647,0.18611111111111112,0.30112359550561796,0.5287698412698413
plantpathology,densenet161,pca,2,GMM,0.29,0.7777777777777778,0.019444444444444445,0.037940379403794036,0.5025793650793651
plantpathology,densenet161,pca,1,IQR+CI,0.332,0.782608695652174,0.1,0.17733990147783252,0.5142857142857143
plantpathology,densenet161,pca,1,IsolationForest,0.376,0.8157894736842105,0.17222222222222222,0.28440366972477066,0.5361111111111112
plantpathology,densenet161,pca,1,OneClassSVM,0.368,0.7075471698113207,0.20833333333333334,0.3218884120171674,0.493452380952381
plantpathology,densenet161,pca,1,LOF,0.378,0.788235294117647,0.18611111111111112,0.30112359550561796,0.5287698412698413
plantpathology,densenet161,pca,1,GMM,0.29,0.7777777777777778,0.019444444444444445,0.037940379403794036,0.5025793650793651
plantpathology,densenet169,tsne,2,IQR+CI,0.406,0.9012345679012346,0.20165745856353592,0.3295711060948081,0.5718432220353912
plantpathology,densenet169,tsne,2,IsolationForest,0.498,0.8992805755395683,0.3453038674033149,0.499001996007984,0.621927296020498
plantpathology,densenet169,tsne,2,OneClassSVM,0.41,0.7964601769911505,0.24861878453038674,0.37894736842105264,0.54097605893186
plantpathology,densenet169,tsne,2,LOF,0.366,0.9090909090909091,0.13812154696132597,0.23980815347721823,0.5509448314516775
plantpathology,densenet169,tsne,2,GMM,0.336,0.9411764705882353,0.08839779005524862,0.16161616161616163,0.5369525182160301
plantpathology,densenet169,tsne,1,IQR+CI,0.346,0.9069767441860465,0.10773480662983426,0.1925925925925926,0.5393746496917288
plantpathology,densenet169,tsne,1,IsolationForest,0.53,0.9096774193548387,0.38950276243093923,0.5454545454545454,0.6440267435343102
plantpathology,densenet169,tsne,1,OneClassSVM,0.45,0.8222222222222222,0.30662983425414364,0.44668008048289737,0.5663583953879414
plantpathology,densenet169,tsne,1,LOF,0.59,0.9153439153439153,0.47790055248618785,0.6279491833030852,0.6809792617503404
plantpathology,densenet169,tsne,1,GMM,0.272,0.0,0.0,0.0,0.4927536231884058
plantpathology,densenet169,umap,2,IQR+CI,0.368,0.9791666666666666,0.1298342541436464,0.22926829268292684,0.5612939386660261
plantpathology,densenet169,umap,2,IsolationForest,0.432,0.8679245283018868,0.2541436464088398,0.39316239316239315,0.5763471855232605
plantpathology,densenet169,umap,2,OneClassSVM,0.44,0.8796296296296297,0.26243093922651933,0.40425531914893614,0.5841140203378974
plantpathology,densenet169,umap,2,LOF,0.394,0.9682539682539683,0.1685082872928177,0.28705882352941176,0.5770077668348147
