Dataset,Model,DimReduction,Dimensions,AnomalyMethod,Accuracy,Precision,Recall,F1,AUC
plantpathology,regnet_x_32gf,umap,1,OneClassSVM,0.748,0.9161073825503355,0.7299465240641712,0.8125,0.7657669128257364
plantpathology,regnet_x_32gf,umap,1,LOF,0.768,0.967391304347826,0.713903743315508,0.8215384615384616,0.8212375859434683
plantpathology,regnet_x_32gf,umap,1,GMM,0.61,0.9890710382513661,0.4839572192513369,0.6499102333931778,0.7340421016891605
plantpathology,regnet_x_32gf,pca,2,IQR+CI,0.43,0.9494949494949495,0.25133689839572193,0.3974630021141649,0.6058271793565912
plantpathology,regnet_x_32gf,pca,2,IsolationForest,0.55,0.9257142857142857,0.43315508021390375,0.5901639344262295,0.6649902385196503
plantpathology,regnet_x_32gf,pca,2,OneClassSVM,0.486,0.8774193548387097,0.36363636363636365,0.5141776937618148,0.6064213564213565
plantpathology,regnet_x_32gf,pca,2,LOF,0.5,0.9492753623188406,0.3502673796791444,0.51171875,0.6473559120617944
plantpathology,regnet_x_32gf,pca,2,GMM,0.308,0.9375,0.08021390374331551,0.1477832512315271,0.5321704439351499
plantpathology,regnet_x_32gf,pca,1,IQR+CI,0.43,0.9494949494949495,0.25133689839572193,0.3974630021141649,0.6058271793565912
plantpathology,regnet_x_32gf,pca,1,IsolationForest,0.55,0.9257142857142857,0.43315508021390375,0.5901639344262295,0.6649902385196503
plantpathology,regnet_x_32gf,pca,1,OneClassSVM,0.476,0.8783783783783784,0.34759358288770054,0.49808429118773945,0.6023682200152789
plantpathology,regnet_x_32gf,pca,1,LOF,0.5,0.9492753623188406,0.3502673796791444,0.51171875,0.6473559120617944
plantpathology,regnet_x_32gf,pca,1,GMM,0.308,0.9375,0.08021390374331551,0.1477832512315271,0.5321704439351499
plantpathology,regnet_x_3_2gf,tsne,2,IQR+CI,0.578,0.958041958041958,0.40058479532163743,0.5649484536082474,0.6813050558886669
plantpathology,regnet_x_3_2gf,tsne,2,IsolationForest,0.646,0.9187817258883249,0.5292397660818714,0.6716141001855288,0.7139869716485305
plantpathology,regnet_x_3_2gf,tsne,2,OneClassSVM,0.536,0.8525641025641025,0.3888888888888889,0.5341365461847389,0.6216596343178621
plantpathology,regnet_x_3_2gf,tsne,2,LOF,0.66,0.9479166666666666,0.5321637426900585,0.6816479400749064,0.7344363017247761
plantpathology,regnet_x_3_2gf,tsne,2,GMM,0.486,0.9775280898876404,0.2543859649122807,0.4037122969837587,0.6208638685320899
plantpathology,regnet_x_3_2gf,tsne,1,IQR+CI,0.492,0.9,0.2894736842105263,0.43805309734513276,0.6099267155229846
plantpathology,regnet_x_3_2gf,tsne,1,IsolationForest,0.634,0.9162303664921466,0.5116959064327485,0.6566604127579737,0.7052150418239691
plantpathology,regnet_x_3_2gf,tsne,1,OneClassSVM,0.526,0.8671328671328671,0.36257309941520466,0.511340206185567,0.6211599674291214
plantpathology,regnet_x_3_2gf,tsne,1,LOF,0.338,0.72,0.05263157894736842,0.09809264305177112,0.504163890739507
plantpathology,regnet_x_3_2gf,tsne,1,GMM,0.482,0.9770114942528736,0.24853801169590642,0.3962703962703963,0.6179398919239026
plantpathology,regnet_x_3_2gf,umap,2,IQR+CI,0.566,0.9629629629629629,0.38011695906432746,0.5450733752620545,0.6742356947220371
plantpathology,regnet_x_3_2gf,umap,2,IsolationForest,0.684,0.9259259259259259,0.5847953216374269,0.7168458781362007,0.7417647494263083
plantpathology,regnet_x_3_2gf,umap,2,OneClassSVM,0.556,0.8658536585365854,0.4152046783625731,0.5612648221343873,0.6379820860167297
plantpathology,regnet_x_3_2gf,umap,2,LOF,0.466,0.987012987012987,0.2222222222222222,0.3627684964200477,0.6079465541490858
plantpathology,regnet_x_3_2gf,umap,2,GMM,0.492,0.9782608695652174,0.2631578947368421,0.4147465437788018,0.6252498334443704
plantpathology,regnet_x_3_2gf,umap,1,IQR+CI,0.63,0.9875776397515528,0.4649122807017544,0.6322067594433399,0.7261270264268265
plantpathology,regnet_x_3_2gf,umap,1,IsolationForest,0.714,0.9307359307359307,0.6286549707602339,0.7504363001745201,0.763694573987712
plantpathology,regnet_x_3_2gf,umap,1,OneClassSVM,0.682,0.9295774647887324,0.5789473684210527,0.7135135135135136,0.7420053297801465
plantpathology,regnet_x_3_2gf,umap,1,LOF,0.64,0.9550561797752809,0.49707602339181284,0.6538461538461539,0.7232215559997038
plantpathology,regnet_x_3_2gf,umap,1,GMM,0.61,0.9867549668874173,0.43567251461988304,0.6044624746450304,0.7115071433858909
plantpathology,regnet_x_3_2gf,pca,2,IQR+CI,0.492,0.9150943396226415,0.28362573099415206,0.4330357142857143,0.6133318528388482
plantpathology,regnet_x_3_2gf,pca,2,IsolationForest,0.552,0.8933333333333333,0.391812865497076,0.5447154471544715,0.6452735213561329
plantpathology,regnet_x_3_2gf,pca,2,OneClassSVM,0.474,0.8264462809917356,0.29239766081871343,0.4319654427645788,0.579743134206825
plantpathology,regnet_x_3_2gf,pca,2,LOF,0.386,0.8301886792452831,0.1286549707602339,0.22278481012658227,0.5358464727218891
plantpathology,regnet_x_3_2gf,pca,2,GMM,0.39,0.9512195121951219,0.11403508771929824,0.20365535248041775,0.5506884299355985
plantpathology,regnet_x_3_2gf,pca,1,IQR+CI,0.492,0.9150943396226415,0.28362573099415206,0.4330357142857143,0.6133318528388482
plantpathology,regnet_x_3_2gf,pca,1,IsolationForest,0.552,0.8933333333333333,0.391812865497076,0.5447154471544715,0.6452735213561329
plantpathology,regnet_x_3_2gf,pca,1,OneClassSVM,0.474,0.8319327731092437,0.2894736842105263,0.42950108459869846,0.5814457028647568
plantpathology,regnet_x_3_2gf,pca,1,LOF,0.386,0.8301886792452831,0.1286549707602339,0.22278481012658227,0.5358464727218891
plantpathology,regnet_x_3_2gf,pca,1,GMM,0.39,0.9512195121951219,0.11403508771929824,0.20365535248041775,0.5506884299355985
plantpathology,regnet_x_400mf,tsne,2,IQR+CI,0.518,0.991304347826087,0.3220338983050847,0.4861407249466951,0.6575922916182958
plantpathology,regnet_x_400mf,tsne,2,IsolationForest,0.608,0.9202127659574468,0.4887005649717514,0.6383763837638377,0.692980419472177
plantpathology,regnet_x_400mf,tsne,2,OneClassSVM,0.594,0.9217877094972067,0.4661016949152542,0.6191369606003753,0.6851056419781751
plantpathology,regnet_x_400mf,tsne,2,LOF,0.58,0.9864864864864865,0.4124293785310734,0.5816733067729084,0.6993653741970436
plantpathology,regnet_x_400mf,tsne,2,GMM,0.542,0.9844961240310077,0.3587570621468927,0.525879917184265,0.6725292160049532
plantpathology,regnet_x_400mf,tsne,1,IQR+CI,0.344,0.9642857142857143,0.07627118644067797,0.14136125654450263,0.5347109356860924
plantpathology,regnet_x_400mf,tsne,1,IsolationForest,0.784,0.9456521739130435,0.7372881355932204,0.8285714285714286,0.8172742047829116
plantpathology,regnet_x_400mf,tsne,1,OneClassSVM,0.73,0.9362549800796812,0.6638418079096046,0.7768595041322314,0.7771263834068571
plantpathology,regnet_x_400mf,tsne,1,LOF,0.67,0.9748743718592965,0.5480225988700564,0.701627486437613,0.7568880117637953
plantpathology,regnet_x_400mf,tsne,1,GMM,0.39,0.9622641509433962,0.1440677966101695,0.25061425061425063,0.5651845832365916
plantpathology,regnet_x_400mf,umap,2,IQR+CI,0.484,0.98,0.2768361581920904,0.43171806167400884,0.631568764027552
plantpathology,regnet_x_400mf,umap,2,IsolationForest,0.614,0.9214659685863874,0.4971751412429379,0.6458715596330276,0.6972177076077704
plantpathology,regnet_x_400mf,umap,2,OneClassSVM,0.582,0.9096045197740112,0.4548022598870056,0.6064030131826742,0.6726066093955576
plantpathology,regnet_x_400mf,umap,2,LOF,0.562,0.9591836734693877,0.3983050847457627,0.562874251497006,0.678604597167402
plantpathology,regnet_x_400mf,umap,2,GMM,0.462,0.9775280898876404,0.2457627118644068,0.3927765237020316,0.6160320408637102
plantpathology,regnet_x_400mf,umap,1,IQR+CI,0.768,0.9798387096774194,0.6864406779661016,0.8073089700996677,0.8260970513118179
plantpathology,regnet_x_400mf,umap,1,IsolationForest,0.834,0.9501661129568106,0.807909604519774,0.8732824427480916,0.8525849392461884
plantpathology,regnet_x_400mf,umap,1,OneClassSVM,0.788,0.9217687074829932,0.7655367231638418,0.8364197530864198,0.8040012382942496
plantpathology,regnet_x_400mf,umap,1,LOF,0.794,0.9700374531835206,0.731638418079096,0.8341384863123994,0.8384219487655754
plantpathology,regnet_x_400mf,umap,1,GMM,0.456,0.9767441860465116,0.23728813559322035,0.38181818181818183,0.6117947527281169
plantpathology,regnet_x_400mf,pca,2,IQR+CI,0.354,0.8780487804878049,0.1016949152542373,0.18227848101265823,0.5337241699558858
plantpathology,regnet_x_400mf,pca,2,IsolationForest,0.466,0.8717948717948718,0.288135593220339,0.43312101910828027,0.5926979335964709
plantpathology,regnet_x_400mf,pca,2,OneClassSVM,0.442,0.8260869565217391,0.268361581920904,0.4051172707889126,0.5656876402755204
plantpathology,regnet_x_400mf,pca,2,LOF,0.394,0.8923076923076924,0.1638418079096045,0.27684964200477324,0.5579483012150762
plantpathology,regnet_x_400mf,pca,2,GMM,0.336,0.9230769230769231,0.06779661016949153,0.12631578947368421,0.5270489900162526
plantpathology,regnet_x_400mf,pca,1,IQR+CI,0.354,0.8780487804878049,0.1016949152542373,0.18227848101265823,0.5337241699558858
plantpathology,regnet_x_400mf,pca,1,IsolationForest,0.466,0.8717948717948718,0.288135593220339,0.43312101910828027,0.5926979335964709
plantpathology,regnet_x_400mf,pca,1,OneClassSVM,0.448,0.825,0.2796610169491525,0.4177215189873418,0.5679127002553981
plantpathology,regnet_x_400mf,pca,1,LOF,0.394,0.8923076923076924,0.1638418079096045,0.27684964200477324,0.5579483012150762
plantpathology,regnet_x_400mf,pca,1,GMM,0.336,0.9230769230769231,0.06779661016949153,0.12631578947368421,0.5270489900162526
plantpathology,regnet_x_800mf,tsne,2,IQR+CI,0.474,0.9900990099009901,0.27624309392265195,0.4319654427645788,0.6344983585555288
plantpathology,regnet_x_800mf,tsne,2,IsolationForest,0.64,0.9333333333333333,0.5414364640883977,0.6853146853146853,0.7199935943630394
plantpathology,regnet_x_800mf,tsne,2,OneClassSVM,0.61,0.9154228855721394,0.5082872928176796,0.6536412078152753,0.6925494435102891
plantpathology,regnet_x_800mf,tsne,2,LOF,0.492,0.990909090909091,0.3011049723756906,0.461864406779661,0.6469292977820482
plantpathology,regnet_x_800mf,tsne,2,GMM,0.51,0.9834710743801653,0.3287292817679558,0.4927536231884058,0.6571182640723836
plantpathology,regnet_x_800mf,tsne,1,IQR+CI,0.45,0.9306930693069307,0.2596685082872928,0.4060475161987041,0.6044719353030666
plantpathology,regnet_x_800mf,tsne,1,IsolationForest,0.698,0.9414225941422594,0.6215469613259669,0.7487520798668885,0.760048842981824
plantpathology,regnet_x_800mf,tsne,1,OneClassSVM,0.62,0.9343434343434344,0.511049723756906,0.6607142857142857,0.7084234126030907
plantpathology,regnet_x_800mf,tsne,1,LOF,0.534,0.9640287769784173,0.3701657458563536,0.5349301397205589,0.6669669308991913
plantpathology,regnet_x_800mf,tsne,1,GMM,0.422,0.974025974025974,0.20718232044198895,0.3416856492027335,0.5963447834094003
plantpathology,regnet_x_800mf,umap,2,IQR+CI,0.488,0.9818181818181818,0.2983425414364641,0.4576271186440678,0.6419248939066378
plantpathology,regnet_x_800mf,umap,2,IsolationForest,0.61,0.9282051282051282,0.5,0.6499102333931778,0.6992753623188406
plantpathology,regnet_x_800mf,umap,2,OneClassSVM,0.52,0.8961038961038961,0.3812154696132597,0.5348837209302325,0.6326367203138763
plantpathology,regnet_x_800mf,umap,2,LOF,0.44,1.0,0.2265193370165746,0.36936936936936937,0.6132596685082873
plantpathology,regnet_x_800mf,umap,2,GMM,0.476,0.9807692307692307,0.281767955801105,0.43776824034334766,0.6336376010889584
plantpathology,regnet_x_800mf,umap,1,IQR+CI,0.644,0.9693877551020408,0.5248618784530387,0.6810035842293907,0.7406918087917368
plantpathology,regnet_x_800mf,umap,1,IsolationForest,0.726,0.9446640316205533,0.6602209944751382,0.7772357723577236,0.7793858595564096
plantpathology,regnet_x_800mf,umap,1,OneClassSVM,0.708,0.9122137404580153,0.6602209944751382,0.7660256410256411,0.7467771639042357
plantpathology,regnet_x_800mf,umap,1,LOF,0.646,0.964824120603015,0.5303867403314917,0.6844919786096256,0.7398310513251661
plantpathology,regnet_x_800mf,umap,1,GMM,0.508,0.9833333333333333,0.3259668508287293,0.4896265560165975,0.6557370486027705
plantpathology,regnet_x_800mf,pca,2,IQR+CI,0.542,0.9523809523809523,0.3867403314917127,0.550098231827112,0.6680078469052767
plantpathology,regnet_x_800mf,pca,2,IsolationForest,0.61,0.9282051282051282,0.5,0.6499102333931778,0.6992753623188406
plantpathology,regnet_x_800mf,pca,2,OneClassSVM,0.542,0.8674033149171271,0.43370165745856354,0.578268876611418,0.6298943069901513
plantpathology,regnet_x_800mf,pca,2,LOF,0.5,0.9057971014492754,0.3453038674033149,0.5,0.6255504844262951
plantpathology,regnet_x_800mf,pca,2,GMM,0.448,0.9777777777777777,0.2430939226519337,0.3893805309734513,0.6143005845143727
plantpathology,regnet_x_800mf,pca,1,IQR+CI,0.542,0.9523809523809523,0.3867403314917127,0.550098231827112,0.6680078469052767
plantpathology,regnet_x_800mf,pca,1,IsolationForest,0.61,0.9282051282051282,0.5,0.6499102333931778,0.6992753623188406
plantpathology,regnet_x_800mf,pca,1,OneClassSVM,0.542,0.8674033149171271,0.43370165745856354,0.578268876611418,0.6298943069901513
plantpathology,regnet_x_800mf,pca,1,LOF,0.5,0.9057971014492754,0.3453038674033149,0.5,0.6255504844262951
plantpathology,regnet_x_800mf,pca,1,GMM,0.448,0.9777777777777777,0.2430939226519337,0.3893805309734513,0.6143005845143727
plantpathology,regnet_x_8gf,tsne,2,IQR+CI,0.436,0.9873417721518988,0.21727019498607242,0.3561643835616438,0.6050889982022561
plantpathology,regnet_x_8gf,tsne,2,IsolationForest,0.568,0.9181286549707602,0.4373259052924791,0.5924528301886792,0.6690175625753175
plantpathology,regnet_x_8gf,tsne,2,OneClassSVM,0.544,0.906832298136646,0.40668523676880225,0.5615384615384615,0.650151129022699
plantpathology,regnet_x_8gf,tsne,2,LOF,0.52,0.9343065693430657,0.3565459610027855,0.5161290322580645,0.6463580868843715
plantpathology,regnet_x_8gf,tsne,2,GMM,0.456,0.978021978021978,0.2479108635097493,0.39555555555555555,0.6168632331733144
plantpathology,regnet_x_8gf,tsne,1,IQR+CI,0.282,0.0,0.0,0.0,0.5
plantpathology,regnet_x_8gf,tsne,1,IsolationForest,0.752,0.9467680608365019,0.6935933147632312,0.8006430868167203,0.7971512673106936
plantpathology,regnet_x_8gf,tsne,1,OneClassSVM,0.34,0.7457627118644068,0.12256267409470752,0.21052631578947367,0.5080898476856516
plantpathology,regnet_x_8gf,tsne,1,LOF,0.774,0.9456521739130435,0.7270194986072424,0.8220472440944881,0.8103182599419191
plantpathology,regnet_x_8gf,tsne,1,GMM,0.282,0.5,0.005571030640668524,0.011019283746556474,0.4956933167387739
plantpathology,regnet_x_8gf,umap,2,IQR+CI,0.558,1.0,0.38440111420612816,0.5553319919517102,0.692200557103064
plantpathology,regnet_x_8gf,umap,2,IsolationForest,0.682,0.9385964912280702,0.596100278551532,0.7291311754684838,0.7484047492048439
plantpathology,regnet_x_8gf,umap,2,OneClassSVM,0.628,0.9261083743842364,0.5236768802228412,0.6690391459074733,0.7086469507497185
plantpathology,regnet_x_8gf,umap,2,LOF,0.644,0.9502487562189055,0.532033426183844,0.6821428571428572,0.7305557201841206
plantpathology,regnet_x_8gf,umap,2,GMM,0.56,0.986013986013986,0.39275766016713093,0.5617529880478087,0.6892866315020052
plantpathology,regnet_x_8gf,umap,1,IQR+CI,0.474,0.9210526315789473,0.2924791086350975,0.4439746300211416,0.6143246607005275
plantpathology,regnet_x_8gf,umap,1,IsolationForest,0.718,0.943089430894309,0.6462395543175488,0.7669421487603306,0.7734743870878524
plantpathology,regnet_x_8gf,umap,1,OneClassSVM,0.53,0.8647058823529412,0.40947075208913647,0.555765595463138,0.623175092356625
plantpathology,regnet_x_8gf,umap,1,LOF,0.704,0.9377593360995851,0.6295264623955432,0.7533333333333333,0.7615717418360695
plantpathology,regnet_x_8gf,umap,1,GMM,0.34,0.9393939393939394,0.08635097493036212,0.15816326530612246,0.5360832888836208
plantpathology,regnet_x_8gf,pca,2,IQR+CI,0.492,0.9069767441860465,0.32590529247910865,0.47950819672131145,0.6203994547501926
plantpathology,regnet_x_8gf,pca,2,IsolationForest,0.498,0.8970588235294118,0.3398328690807799,0.49292929292929294,0.6202710444694679
plantpathology,regnet_x_8gf,pca,2,OneClassSVM,0.444,0.7515527950310559,0.3370473537604457,0.4653846153846154,0.5266797052490172
plantpathology,regnet_x_8gf,pca,2,LOF,0.406,0.8604651162790697,0.20612813370473537,0.3325842696629214,0.5605108753630059
plantpathology,regnet_x_8gf,pca,2,GMM,0.356,0.9512195121951219,0.10863509749303621,0.195,0.5472253501649578
plantpathology,regnet_x_8gf,pca,1,IQR+CI,0.492,0.9069767441860465,0.32590529247910865,0.47950819672131145,0.6203994547501926
plantpathology,regnet_x_8gf,pca,1,IsolationForest,0.498,0.8970588235294118,0.3398328690807799,0.49292929292929294,0.6202710444694679
plantpathology,regnet_x_8gf,pca,1,OneClassSVM,0.442,0.7439024390243902,0.3398328690807799,0.4665391969407266,0.520980264327624
plantpathology,regnet_x_8gf,pca,1,LOF,0.406,0.8604651162790697,0.20612813370473537,0.3325842696629214,0.5605108753630059
plantpathology,regnet_x_8gf,pca,1,GMM,0.356,0.9512195121951219,0.10863509749303621,0.195,0.5472253501649578
plantpathology,regnet_y_16gf,tsne,2,IQR+CI,0.664,0.9743589743589743,0.5382436260623229,0.6934306569343066,0.752115010310073
plantpathology,regnet_y_16gf,tsne,2,IsolationForest,0.754,0.9423076923076923,0.6940509915014165,0.799347471451876,0.7960050875874429
plantpathology,regnet_y_16gf,tsne,2,OneClassSVM,0.734,0.9198473282442748,0.6827195467422096,0.7837398373983739,0.7699312019425334
plantpathology,regnet_y_16gf,tsne,2,LOF,0.71,0.9684684684684685,0.6090651558073654,0.7478260869565218,0.7807230540941588
plantpathology,regnet_y_16gf,tsne,2,GMM,0.652,0.9890710382513661,0.5127478753541076,0.6753731343283582,0.7495712165886184
plantpathology,regnet_y_16gf,tsne,1,IQR+CI,0.692,0.954337899543379,0.5920679886685553,0.7307692307692307,0.7620203888921008
plantpathology,regnet_y_16gf,tsne,1,IsolationForest,0.846,0.9509803921568627,0.8243626062322946,0.8831562974203339,0.861160894952882
plantpathology,regnet_y_16gf,tsne,1,OneClassSVM,0.784,0.9328621908127208,0.7478753541076487,0.8301886792452831,0.8093118267136883
plantpathology,regnet_y_16gf,tsne,1,LOF,0.728,0.9865470852017937,0.623229461756374,0.7638888888888888,0.8014106492455338
plantpathology,regnet_y_16gf,tsne,1,GMM,0.626,0.9882352941176471,0.47592067988668557,0.6424474187380497,0.7311576188549074
plantpathology,regnet_y_16gf,umap,2,IQR+CI,0.644,0.9487179487179487,0.5240793201133145,0.6751824817518248,0.7280260546144803
plantpathology,regnet_y_16gf,umap,2,IsolationForest,0.714,0.9375,0.6373937677053825,0.7588532883642496,0.7676764756894259
plantpathology,regnet_y_16gf,umap,2,OneClassSVM,0.628,0.8957345971563981,0.5354107648725213,0.6702127659574468,0.6928754504634715
plantpathology,regnet_y_16gf,umap,2,LOF,0.676,0.9441860465116279,0.5750708215297451,0.7147887323943662,0.7467190842342603
plantpathology,regnet_y_16gf,umap,2,GMM,0.608,0.9875776397515528,0.45042492917847027,0.6186770428015564,0.7184097435007998
plantpathology,regnet_y_16gf,umap,1,IQR+CI,0.826,0.9618055555555556,0.7847025495750708,0.8642745709828393,0.8549363088011408
plantpathology,regnet_y_16gf,umap,1,IsolationForest,0.852,0.9514563106796117,0.8328611898016998,0.8882175226586103,0.8654101867375845
plantpathology,regnet_y_16gf,umap,1,OneClassSVM,0.81,0.9358108108108109,0.7847025495750708,0.8536209553158706,0.8277254244473993
plantpathology,regnet_y_16gf,umap,1,LOF,0.84,0.9595959595959596,0.8073654390934845,0.8769230769230769,0.86286639301613
plantpathology,regnet_y_16gf,umap,1,GMM,0.614,0.9878048780487805,0.45892351274787535,0.6266924564796905,0.7226590352855022
plantpathology,regnet_y_16gf,pca,2,IQR+CI,0.366,0.8461538461538461,0.12464589235127478,0.21728395061728395,0.5351120618218959
plantpathology,regnet_y_16gf,pca,2,IsolationForest,0.442,0.8557692307692307,0.2521246458923513,0.38949671772428884,0.5750419147829104
plantpathology,regnet_y_16gf,pca,2,OneClassSVM,0.414,0.7727272727272727,0.24079320113314448,0.367170626349892,0.5353625869611301
plantpathology,regnet_y_16gf,pca,2,LOF,0.332,0.7567567567567568,0.07932011331444759,0.14358974358974358,0.5090478117592646
plantpathology,regnet_y_16gf,pca,2,GMM,0.29,0.0,0.0,0.0,0.4931972789115646
plantpathology,regnet_y_16gf,pca,1,IQR+CI,0.366,0.8461538461538461,0.12464589235127478,0.21728395061728395,0.5351120618218959
plantpathology,regnet_y_16gf,pca,1,IsolationForest,0.442,0.8557692307692307,0.2521246458923513,0.38949671772428884,0.5750419147829104
plantpathology,regnet_y_16gf,pca,1,OneClassSVM,0.418,0.7719298245614035,0.24929178470254956,0.37687366167023556,0.5362105182016149
plantpathology,regnet_y_16gf,pca,1,LOF,0.332,0.7567567567567568,0.07932011331444759,0.14358974358974358,0.5090478117592646
plantpathology,regnet_y_16gf,pca,1,GMM,0.29,0.0,0.0,0.0,0.4931972789115646
plantpathology,regnet_y_1_6gf,tsne,2,IQR+CI,0.416,0.927536231884058,0.18233618233618235,0.3047619047619048,0.5743895676781584
plantpathology,regnet_y_1_6gf,tsne,2,IsolationForest,0.508,0.8888888888888888,0.3418803418803419,0.49382716049382713,0.6206046004703724
plantpathology,regnet_y_1_6gf,tsne,2,OneClassSVM,0.532,0.8232044198895028,0.42450142450142453,0.5601503759398496,0.6048681619151418
plantpathology,regnet_y_1_6gf,tsne,2,LOF,0.51,0.9274193548387096,0.32763532763532766,0.4842105263157895,0.6336163215357846
plantpathology,regnet_y_1_6gf,tsne,2,GMM,0.406,0.9655172413793104,0.15954415954415954,0.27383863080684595,0.5730606703761066
plantpathology,regnet_y_1_6gf,tsne,1,IQR+CI,0.294,0.0,0.0,0.0,0.49328859060402686
plantpathology,regnet_y_1_6gf,tsne,1,IsolationForest,0.648,0.926829268292683,0.5413105413105413,0.6834532374100719,0.7203197001854721
plantpathology,regnet_y_1_6gf,tsne,1,OneClassSVM,0.612,0.9153439153439153,0.4928774928774929,0.6407407407407407,0.6927474712709613
plantpathology,regnet_y_1_6gf,tsne,1,LOF,0.65,0.9112149532710281,0.5555555555555556,0.6902654867256637,0.7140193885160329
plantpathology,regnet_y_1_6gf,tsne,1,GMM,0.294,0.0,0.0,0.0,0.49328859060402686
plantpathology,regnet_y_1_6gf,umap,2,IQR+CI,0.302,0.6666666666666666,0.011396011396011397,0.022408963585434174,0.49898659630203257
plantpathology,regnet_y_1_6gf,umap,2,IsolationForest,0.412,0.8275862068965517,0.20512820512820512,0.3287671232876712,0.5522285320943039
plantpathology,regnet_y_1_6gf,umap,2,OneClassSVM,0.342,0.7115384615384616,0.10541310541310542,0.18362282878411912,0.502370982236754
plantpathology,regnet_y_1_6gf,umap,2,LOF,0.298,0.0,0.0,0.0,0.5
plantpathology,regnet_y_1_6gf,umap,2,GMM,0.302,0.6666666666666666,0.011396011396011397,0.022408963585434174,0.49898659630203257
plantpathology,regnet_y_1_6gf,umap,1,IQR+CI,0.612,0.8984771573604061,0.5042735042735043,0.6459854014598541,0.6850226581770206
plantpathology,regnet_y_1_6gf,umap,1,IsolationForest,0.73,0.9390243902439024,0.6581196581196581,0.7738693467336684,0.7787242585900304
plantpathology,regnet_y_1_6gf,umap,1,OneClassSVM,0.51,0.8897058823529411,0.34472934472934474,0.49691991786447637,0.6220291018948737
plantpathology,regnet_y_1_6gf,umap,1,LOF,0.474,0.9782608695652174,0.2564102564102564,0.40632054176072235,0.621493718809155
plantpathology,regnet_y_1_6gf,umap,1,GMM,0.484,0.979381443298969,0.2706552706552707,0.42410714285714285,0.6286162259316622
plantpathology,regnet_y_1_6gf,pca,2,IQR+CI,0.304,0.6666666666666666,0.017094017094017096,0.03333333333333333,0.4984798944530488
plantpathology,regnet_y_1_6gf,pca,2,IsolationForest,0.328,0.6666666666666666,0.08547008547008547,0.15151515151515152,0.49239947226524405
plantpathology,regnet_y_1_6gf,pca,2,OneClassSVM,0.366,0.717948717948718,0.15954415954415954,0.26107226107226106,0.5059465764163751
plantpathology,regnet_y_1_6gf,pca,2,LOF,0.3,0.5384615384615384,0.019943019943019943,0.038461538461538464,0.48983728178359054
plantpathology,regnet_y_1_6gf,pca,2,GMM,0.302,0.6666666666666666,0.011396011396011397,0.022408963585434174,0.49898659630203257
plantpathology,regnet_y_1_6gf,pca,1,IQR+CI,0.304,0.6666666666666666,0.017094017094017096,0.03333333333333333,0.4984798944530488
plantpathology,regnet_y_1_6gf,pca,1,IsolationForest,0.328,0.6666666666666666,0.08547008547008547,0.15151515151515152,0.49239947226524405
plantpathology,regnet_y_1_6gf,pca,1,OneClassSVM,0.322,0.625,0.08547008547008547,0.15037593984962405,0.4823323581712843
plantpathology,regnet_y_1_6gf,pca,1,LOF,0.3,0.5384615384615384,0.019943019943019943,0.038461538461538464,0.48983728178359054
plantpathology,regnet_y_1_6gf,pca,1,GMM,0.302,0.6666666666666666,0.011396011396011397,0.022408963585434174,0.49898659630203257
plantpathology,regnet_y_32gf,tsne,2,IQR+CI,0.442,0.8857142857142857,0.25833333333333336,0.4,0.5863095238095238
plantpathology,regnet_y_32gf,tsne,2,IsolationForest,0.498,0.8978102189781022,0.3416666666666667,0.4949698189134809,0.6208333333333335
plantpathology,regnet_y_32gf,tsne,2,OneClassSVM,0.436,0.8482142857142857,0.2638888888888889,0.4025423728813559,0.5712301587301587
plantpathology,regnet_y_32gf,tsne,2,LOF,0.474,0.8943089430894309,0.3055555555555556,0.4554865424430642,0.6063492063492063
plantpathology,regnet_y_32gf,tsne,2,GMM,0.28,0.5,0.005555555555555556,0.01098901098901099,0.49563492063492065
plantpathology,regnet_y_32gf,tsne,1,IQR+CI,0.576,0.9933333333333333,0.41388888888888886,0.5843137254901961,0.7033730158730158
plantpathology,regnet_y_32gf,tsne,1,IsolationForest,0.828,0.9536423841059603,0.8,0.8700906344410876,0.8500000000000001
plantpathology,regnet_y_32gf,tsne,1,OneClassSVM,0.678,0.9307359307359307,0.5972222222222222,0.727580372250423,0.741468253968254
plantpathology,regnet_y_32gf,tsne,1,LOF,0.806,0.9581881533101045,0.7638888888888888,0.8500772797527048,0.8390873015873015
plantpathology,regnet_y_32gf,tsne,1,GMM,0.578,0.9869281045751634,0.41944444444444445,0.5886939571150097,0.7025793650793651
plantpathology,regnet_y_32gf,umap,2,IQR+CI,0.66,0.9896907216494846,0.5333333333333333,0.6931407942238267,0.7595238095238095
plantpathology,regnet_y_32gf,umap,2,IsolationForest,0.704,0.9416666666666667,0.6277777777777778,0.7533333333333333,0.763888888888889
plantpathology,regnet_y_32gf,umap,2,OneClassSVM,0.698,0.9372384937238494,0.6222222222222222,0.7479131886477463,0.7575396825396826
plantpathology,regnet_y_32gf,umap,2,LOF,0.688,0.9636363636363636,0.5888888888888889,0.7310344827586207,0.7658730158730159
plantpathology,regnet_y_32gf,umap,2,GMM,0.66,0.9896907216494846,0.5333333333333333,0.6931407942238267,0.7595238095238095
plantpathology,regnet_y_32gf,umap,1,IQR+CI,0.466,1.0,0.25833333333333336,0.4105960264900662,0.6291666666666667
