Dataset,Model,DimReduction,Dimensions,ClusterizationMethod,CohenK
plantvillage,densenet201,pca,1,GMM,0.0933253030977507
plantvillage,densenet201,pca,1,DBSCAN,0.231616422918321
plantvillage,dinov2_vitb14,tsne,2,KMeans,0.907125343636229
plantvillage,dinov2_vitb14,tsne,2,Hierarchical,0.974969337438362
plantvillage,dinov2_vitb14,tsne,2,GMM,0.962457764985609
plantvillage,dinov2_vitb14,tsne,2,DBSCAN,0.389146953789974
plantvillage,dinov2_vitb14,tsne,1,KMeans,0.883040215698465
plantvillage,dinov2_vitb14,tsne,1,Hierarchical,0.934149461907032
plantvillage,dinov2_vitb14,tsne,1,GMM,0.952860132871572
plantvillage,dinov2_vitb14,tsne,1,DBSCAN,0.372424645037257
plantvillage,dinov2_vitb14,umap,2,KMeans,0.888195980024348
plantvillage,dinov2_vitb14,umap,2,Hierarchical,0.874400261247457
plantvillage,dinov2_vitb14,umap,2,GMM,0.899540397317729
plantvillage,dinov2_vitb14,umap,1,KMeans,0.946788198248393
plantvillage,dinov2_vitb14,umap,1,Hierarchical,0.956091930951425
plantvillage,dinov2_vitb14,umap,1,GMM,0.956091930951425
plantvillage,dinov2_vitb14,umap,1,DBSCAN,0.952986604316457
plantvillage,dinov2_vitb14,pca,2,KMeans,0.619304924475009
plantvillage,dinov2_vitb14,pca,2,Hierarchical,0.484694523297232
plantvillage,dinov2_vitb14,pca,2,GMM,0.609915461366393
plantvillage,dinov2_vitb14,pca,2,DBSCAN,0.437645609618938
plantvillage,dinov2_vitb14,pca,1,KMeans,0.619304924475009
plantvillage,dinov2_vitb14,pca,1,Hierarchical,0.484694523297232
plantvillage,dinov2_vitb14,pca,1,GMM,0.609915461366393
plantvillage,dinov2_vitb14,pca,1,DBSCAN,0.437645609618938
plantvillage,dinov2_vitl14,tsne,2,KMeans,0.88297177772029
plantvillage,dinov2_vitl14,tsne,2,Hierarchical,0.788870456944654
plantvillage,dinov2_vitl14,tsne,2,GMM,0.977932599854986
plantvillage,dinov2_vitl14,tsne,2,DBSCAN,0.653744313938489
plantvillage,dinov2_vitl14,tsne,1,KMeans,0.874084811557172
plantvillage,dinov2_vitl14,tsne,1,Hierarchical,0.928568766537883
plantvillage,dinov2_vitl14,tsne,1,GMM,0.97476579503517
plantvillage,dinov2_vitl14,tsne,1,DBSCAN,0.621883090339283
plantvillage,dinov2_vitl14,umap,2,KMeans,0.865397322630381
plantvillage,dinov2_vitl14,umap,2,Hierarchical,0.928312731035601
plantvillage,dinov2_vitl14,umap,2,GMM,0.924798836888677
plantvillage,dinov2_vitl14,umap,2,DBSCAN,0.587614926987561
plantvillage,dinov2_vitl14,umap,1,KMeans,0.925279733995853
plantvillage,dinov2_vitl14,umap,1,Hierarchical,0.968534659073031
plantvillage,dinov2_vitl14,umap,1,GMM,0.968534659073031
plantvillage,dinov2_vitl14,umap,1,DBSCAN,0.644645999729254
plantvillage,dinov2_vitl14,pca,2,KMeans,0.501599163420436
plantvillage,dinov2_vitl14,pca,2,Hierarchical,0.425633171051912
plantvillage,dinov2_vitl14,pca,2,GMM,0.500463206844562
plantvillage,dinov2_vitl14,pca,2,DBSCAN,0.297809434215831
plantvillage,dinov2_vitl14,pca,1,KMeans,0.501599163420436
plantvillage,dinov2_vitl14,pca,1,Hierarchical,0.425633171051912
plantvillage,dinov2_vitl14,pca,1,GMM,0.500463206844562
plantvillage,dinov2_vitl14,pca,1,DBSCAN,0.297809434215831
plantvillage,dinov2_vits14,tsne,2,KMeans,0.72024975149845
plantvillage,dinov2_vits14,tsne,2,Hierarchical,0.70062365132437
plantvillage,dinov2_vits14,tsne,2,GMM,0.745338190882508
plantvillage,dinov2_vits14,tsne,2,DBSCAN,0.585314048750885
plantvillage,dinov2_vits14,tsne,1,KMeans,0.845698061967658
plantvillage,dinov2_vits14,tsne,1,Hierarchical,0.927506083185194
plantvillage,dinov2_vits14,tsne,1,GMM,0.9367904730601
plantvillage,dinov2_vits14,tsne,1,DBSCAN,0.867065049502444
plantvillage,dinov2_vits14,umap,2,KMeans,0.510251624773326
plantvillage,dinov2_vits14,umap,2,Hierarchical,0.634065202927479
plantvillage,dinov2_vits14,umap,2,GMM,0.585034691099824
plantvillage,dinov2_vits14,umap,2,DBSCAN,0.677395568336836
plantvillage,dinov2_vits14,umap,1,KMeans,0.953196083448263
plantvillage,dinov2_vits14,umap,1,Hierarchical,0.956141999674198
plantvillage,dinov2_vits14,umap,1,GMM,0.959269354889244
plantvillage,dinov2_vits14,umap,1,DBSCAN,0.368841373092033
plantvillage,dinov2_vits14,pca,2,KMeans,0.459475873796727
plantvillage,dinov2_vits14,pca,2,Hierarchical,0.417277569111484
plantvillage,dinov2_vits14,pca,2,GMM,0.457092075970713
plantvillage,dinov2_vits14,pca,2,DBSCAN,0.450315092605386
plantvillage,dinov2_vits14,pca,1,KMeans,0.459475873796727
plantvillage,dinov2_vits14,pca,1,Hierarchical,0.417277569111484
plantvillage,dinov2_vits14,pca,1,GMM,0.457092075970713
plantvillage,dinov2_vits14,pca,1,DBSCAN,0.450315092605386
plantvillage,googlenet,tsne,2,KMeans,0.597556933857299
plantvillage,googlenet,tsne,2,Hierarchical,0.498678871378692
plantvillage,googlenet,tsne,2,GMM,0.605436728540469
plantvillage,googlenet,tsne,2,DBSCAN,0.602574794120713
plantvillage,googlenet,tsne,1,KMeans,0.291756176154672
plantvillage,googlenet,tsne,1,Hierarchical,0.275440103048519
plantvillage,googlenet,tsne,1,GMM,0.359078151986183
plantvillage,googlenet,tsne,1,DBSCAN,0.055232558139535
